version,name,live_body_md5,supabase_present,backend_present,supabase_definition,backend_definition,superseded,action
20260901172910,bound_market_explorer_daily_candidate_build_timeout,506c5a478f8d7db6fde25a5a5fd6f1f1,true,true,formatting_equivalent,exact_normalized,not_established,none
20260901181712,add_market_explorer_slim_summary_and_constituent_pages,645889a3cf44f1e5c22ee6b3a4e60ba3,true,true,formatting_equivalent,exact_normalized,not_established,none
20260901182253,normalize_market_explorer_cache_constituents,e397a1ffd63fbca5b40c62b934d89d8e,true,true,formatting_equivalent,exact_normalized,not_established,none
20260901182637,add_market_explorer_acceptance_oracle,b80e161f5641eb774d7354b081f79cba,true,true,formatting_equivalent,exact_normalized,not_established,none
20260902031454,push_down_market_explorer_daily_scope_filters,854f37aecddaa9b238fab591f23be187,true,true,exact_normalized,exact_normalized,not_established,none
20260902221622,add_market_explorer_vintage_identity_repair_primitives,8298b37c8cd8d1bc1652bac053640866,true,true,exact_normalized,exact_normalized,not_established,none
20260903034704,harden_market_explorer_vintage_top_hits_rebuild,c7ecd8a1e417fb80ac81c82060af1d95,true,true,exact_normalized,exact_normalized,not_established,none
20260903192911,add_market_explorer_current_metadata_projection,c193640f5457e9d31a98f3b568ea1aee,true,true,exact_normalized,exact_normalized,not_established,none
20260905040740,add_batched_market_explorer_cache_publication,b198fb4c57b0dbffab3c4d0befed56b7,true,true,exact_normalized,exact_normalized,not_established,none
20260906003840,harden_market_explorer_reproject_authority_boundary,5b0e08fcd588379f2c28f5f3e3da148e,true,true,exact_normalized,exact_normalized,not_established,none
20260906004022,add_staged_market_set_value_publication_cohort,145b9426876372fe9bbaf253986e0a98,true,true,exact_normalized,exact_normalized,not_established,none
20260906011633,add_price_storage_v2_market_explorer_shadow_state,a351898ab2bf343c93d687cc3c57a633,true,true,exact_normalized,exact_normalized,not_established,none
20260906011959,optimize_v2_market_explorer_shadow_state,44512165b1ea8060c37bb935fc0824b3,true,true,exact_normalized,exact_normalized,not_established,none
20260906061919,add_set_value_canonical_prices_as_of_v2_shadow,9cb432f97ef90af9a1363a68f541ff80,true,true,exact_normalized,exact_normalized,not_established,none
20260906062417,add_set_value_raw_as_of_validation_oracle,0b5d624d4d96270d810b5805064244e3,true,true,exact_normalized,exact_normalized,not_established,none
20260906063514,create_root_set_value_history_v2_shadow_backfill,3a74cbc338fcacf584269cde519e2338,true,true,exact_normalized,exact_normalized,not_established,none
20260906064906,promote_materialized_root_set_value_history_v2,97ac1d241bce1c29269e46a53c386a58,true,true,exact_normalized,exact_normalized,not_established,none
20260906065949,add_market_explorer_filtered_cohort_v2_shadow,4f8538aa201b6e0ee341995f45eaf282,true,true,exact_normalized,exact_normalized,not_established,none
20260906070138,add_market_explorer_v2_acceptance_helper,953f5ad8e5b38778cfc4222c26561c8e,true,true,exact_normalized,exact_normalized,not_established,none
20260906070842,add_market_explorer_v2_compact_interval_fallback,eaa17a648b9ecb559aa7c2659ad445c2,true,true,exact_normalized,exact_normalized,not_established,none
20260906071020,add_market_explorer_v2_hybrid_shadow,651e57c04082a689fd85f74759afad67,true,true,exact_normalized,exact_normalized,not_established,none
