card_name,set_name,rarity,subject_name,market_price,predicted_price,predicted_log_price,log_price,card_scarcity,subject_demand,card_chase_appeal,pull_probability,alternative_printings_of_subject,set_age_days
Pawmot ex,Obsidian Flames,Double Rare,Pawmot,0.61,1.34,0.29173,-0.4942963218147801,0.5937603604182315,44.5541,0.0,0.006493506493506494,1,1069
Hydreigon ex,White Flare,Double Rare,Hydreigon,0.61,0.74,-0.30787,-0.4942963218147801,0.37793742783624573,61.883,0.08982060909956219,0.017543859649122806,3,362
Arboliva ex,Destined Rivals,Double Rare,Arboliva,0.61,0.63,-0.45564,-0.4942963218147801,0.46724922562178384,28.8975,0.0,0.011627906976744186,2,411
Electivire ex,Destined Rivals,Double Rare,Electivire,0.61,0.77,-0.26642,-0.4942963218147801,0.46724922562178384,53.8844,0.03629965784010514,0.011627906976744186,2,411
Mismagius ex,Phantasmal Flames,Double Rare,Mismagius,0.6,0.78,-0.25296,-0.5108256237659907,0.3406206186877936,60.4903,0.0714642495244112,0.020833333333333332,2,243
Revavroom ex,Shrouded Fable,Double Rare,Revavroom,0.6,0.48,-0.7421,-0.5108256237659907,0.27815125038364363,38.5177,0.0,0.027777777777777776,2,712
Kyurem ex,Black Bolt,Double Rare,Kyurem,0.6,0.42,-0.8588,-0.5108256237659907,0.37793742783624573,47.964,0.0,0.017543859649122806,3,362
Mandibuzz ex,Ascended Heroes,Double Rare,Mandibuzz,0.6,0.52,-0.66173,-0.5108256237659907,0.6405166836238638,35.4724,0.0,0.005235602094240838,1,166
Hearthflame Mask Ogerpon ex,Twilight Masquerade,Double Rare,Ogerpon,0.6,0.79,-0.23901,-0.5108256237659907,0.459539046188037,55.8239,0.05352618902189019,0.012048192771084338,13,782
Regirock ex,Destined Rivals,Double Rare,Regirock,0.6,0.63,-0.45564,-0.5108256237659907,0.46724922562178384,38.9549,0.0,0.011627906976744186,2,411
Alolan Exeggutor ex,Surging Sparks,Double Rare,Exeggutor,0.6,0.69,-0.37058,-0.5108256237659907,0.5126529326323852,49.5476,0.0,0.009433962264150943,4,614
Amoonguss ex,Journey Together,Double Rare,Amoonguss,0.59,0.83,-0.18741,-0.527632742082372,0.4488135456452207,34.1744,0.0,0.012658227848101266,1,474
Meloetta ex,Black Bolt,Double Rare,Meloetta Aria,0.59,0.51,-0.68129,-0.527632742082372,0.37793742783624573,54.0101,0.03031133758732259,0.017543859649122806,3,362
Mega Starmie ex,Perfect Order,Double Rare,Starmie,0.59,0.45,-0.79168,-0.527632742082372,0.3167342277897933,54.5781,0.02900081936488905,0.023255813953488372,3,110
Larry's Dudunsparce ex,Ascended Heroes,Double Rare,Dunsparce,0.59,0.97,-0.02815,-0.527632742082372,0.6405166836238638,61.142,0.14273273777874185,0.005235602094240838,1,166
